ASU Unmapped Transcript ID	RefSeq Gene Description	ASU_Acar Sequence Length (bp)	Best RefSeq Hit Description	NCBI RefSeq ID	E-Value	Percent Similarity	Blast Score	Alignment Length (amino acids)	Positives Matches (amino acids)
a321	potassium sodium hyperpolarization-activated cyclic nucleotide-gated channel 4	880	gi|363746096|ref|XP_003643524.1|PREDICTED: potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4-like, partial [Gallus gallus]	XP_003643524	2.69355E-55	75	216.853	152	114	
a321084	protein fam53a-like	436	gi|345328830|ref|XP_001509798.2|PREDICTED: protein FAM53A-like [Ornithorhynchus anatinus]	XP_001509798	7.07194E-27	86	120.168	68	59	
a321136	60s ribosomal protein l23	505	gi|301628947|ref|XP_002943610.1|PREDICTED: DNA-(apurinic or apyrimidinic site) lyase-like [Xenopus (Silurana) tropicalis]	XP_002943610	1.67369E-6	62	53.1434	54	34	
a32137	signal-induced proliferation-associated 1 like 3	881	gi|327276351|ref|XP_003222933.1|PREDICTED: signal-induced proliferation-associated 1-like protein 3-like [Anolis carolinensis]	XP_003222933	9.3337E-48	100	191.815	92	92	
a321443	ctp synthase 1	410	gi|301630591|ref|XP_002944400.1|PREDICTED: CTP synthase-like [Xenopus (Silurana) tropicalis]	XP_002944400	1.15759E-7	51	56.225	133	69	
a3219	cyclin-dependent kinase 12-like	1147	gi|327275682|ref|XP_003222602.1|PREDICTED: cyclin-dependent kinase 12-like [Anolis carolinensis]	XP_003222602	2.36959E-63	95	244.202	178	170	
a32192	PREDICTED: hypothetical protein, partial [Taeniopygia guttata]	1123	gi|224151788|ref|XP_002190843.1|PREDICTED: hypothetical protein, partial [Taeniopygia guttata]	XP_002190843	1.23728E-8	45	62.3882	154	70	
a32197	coiled-coil domain-containing protein 45-like	607	gi|327279510|ref|XP_003224499.1|PREDICTED: coiled-coil domain-containing protein 45-like [Anolis carolinensis]	XP_003224499	1.15435E-14	78	80.8777	64	50	
a322017	enolase 3	344	gi|147907170|ref|NP_001091239.1|uncharacterized protein LOC100037034 [Xenopus laevis]	NP_001091239	6.03423E-12	55	70.4774	118	66	
a322072	protein sgt1	760	gi|350592817|ref|XP_003359278.2|PREDICTED: protein SGT1 [Sus scrofa]	XP_003359278	6.50438E-73	80	275.018	203	164	
a3222	coagulation factor v-like	830	gi|326665648|ref|XP_001346047.4|PREDICTED: hypothetical protein LOC100007639 [Danio rerio]	XP_001346047	5.72907E-20	37	99.3673	187	71	
a32228	uhrf1-binding protein 1-like	1025	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	1.6004E-52	61	207.994	217	134	
a322292	ubiquitin carboxyl-terminal hydrolase cyld	475	gi|363731143|ref|XP_418407.3|PREDICTED: ubiquitin carboxyl-terminal hydrolase CYLD [Gallus gallus]	XP_418407	7.13123E-27	72	120.553	96	70	
a32230	retrotransposable element tf2 155 kda protein type 1-like	525	gi|327268262|ref|XP_003218917.1|PREDICTED: sex comb on midleg-like protein 2-like [Anolis carolinensis]	XP_003218917	8.26912E-31	79	134.035	93	74	
a32266	nipa-like protein 3-like	388	gi|363742418|ref|XP_417843.3|PREDICTED: NIPA-like domain containing 3 [Gallus gallus]	XP_417843	2.37248E-16	95	85.1149	46	44	
a3227	spectrin alpha brain	1570	gi|224073434|ref|XP_002197819.1|PREDICTED: spectrin, alpha, non-erythrocytic 1 (alpha-fodrin) isoform 2 [Taeniopygia guttata]	XP_002197819	0.0	97	987.638	523	510	
a32282	neuronal acetylcholine receptor subunit alpha-7-like	478	gi|224062373|ref|XP_002196642.1|PREDICTED: cholinergic receptor, nicotinic, alpha 7 [Taeniopygia guttata]	XP_002196642	7.75234E-45	91	180.259	102	93	
a32290	zinc finger protein 160-like	491	gi|327288668|ref|XP_003229048.1|PREDICTED: hypothetical protein LOC100566453 [Anolis carolinensis]	XP_003229048	2.31038E-10	90	65.855	40	36	
a322952	ubiquitin carboxyl-terminal hydrolase 25-like	367	gi|327262238|ref|XP_003215932.1|PREDICTED: hypothetical protein LOC100563775 [Anolis carolinensis]	XP_003215932	8.8294E-24	87	109.768	73	64	
a323062	transmembrane 9 superfamily member 4 precursor	356	gi|363741670|ref|XP_417455.3|PREDICTED: transmembrane 9 superfamily member 4 [Gallus gallus]	XP_417455	2.19524E-14	81	78.5666	53	43	
a323323	elongation factor mitochondrial	438	gi|301631549|ref|XP_002944860.1|PREDICTED: elongation factor G-like [Xenopus (Silurana) tropicalis]	XP_002944860	7.49869E-40	75	163.31	145	109	
a32334	enzymatic poly	908	gi|327286446|ref|XP_003227941.1|PREDICTED: hypothetical protein LOC100566709 [Anolis carolinensis]	XP_003227941	5.61789E-19	56	96.2857	122	69	
a3235	craniofacial development protein 2-like	3660	gi|359072566|ref|XP_003586968.1|PREDICTED: craniofacial development protein 2-like [Bos taurus]	XP_003586968	1.68213E-22	59	110.538	184	109	
a32353	hypothetical protein BRAFLDRAFT_218619, partial [Branchiostoma floridae]	1672	gi|260791546|ref|XP_002590790.1|hypothetical protein BRAFLDRAFT_218619, partial [Branchiostoma floridae]	XP_002590790	2.57313E-6	35	55.4546	292	105	
a323554	mam domain-containing protein 2	484	gi|327263566|ref|XP_003216590.1|PREDICTED: MAM domain-containing protein 2-like [Anolis carolinensis]	XP_003216590	1.81731E-49	77	195.667	131	101	
a32361	inosine-5 -monophosphate dehydrogenase 2 isoform 2	664	gi|301630205|ref|XP_002944214.1|PREDICTED: inosine-5'-monophosphate dehydrogenase-like [Xenopus (Silurana) tropicalis]	XP_002944214	1.87661E-35	60	150.214	188	114	
a3237	collagen alpha-2 chain-like	1187	gi|301632209|ref|XP_002945183.1|PREDICTED: hypothetical protein LOC100487712 [Xenopus (Silurana) tropicalis]	XP_002945183	1.24961E-14	59	82.4185	107	64	
a323718	transcription activator brg1 isoform 2	431	gi|149484995|ref|XP_001521699.1|PREDICTED: transcription activator BRG1-like, partial [Ornithorhynchus anatinus]	XP_001521699	3.17367E-40	87	164.466	109	95	
a32380	interferon-induced very large gtpase 1-like	6255	gi|301625818|ref|XP_002942098.1|PREDICTED: interferon-induced very large GTPase 1-like [Xenopus (Silurana) tropicalis]	XP_002942098	0.0	68	1556.96	1551	1069	
a32395	tenascin isoform 1	3312	gi|312032350|ref|NP_990787.2|tenascin precursor [Gallus gallus]	NP_990787	0.0	79	1564.28	1089	863	
a32412	nuclear receptor subfamily 5 group a member 2-like	2404	gi|327277808|ref|XP_003223655.1|PREDICTED: nuclear receptor subfamily 5 group A member 2-like [Anolis carolinensis]	XP_003223655	1.37163E-6	62	56.9954	62	39	
a324220	zinc finger protein 827	472	gi|327273920|ref|XP_003221727.1|PREDICTED: zinc finger protein 827-like [Anolis carolinensis]	XP_003221727	9.1067E-27	100	120.168	81	81	
a32426	PREDICTED: hypothetical protein LOC100429674, partial [Macaca mulatta]	4094	gi|297302928|ref|XP_002806084.1|PREDICTED: hypothetical protein LOC100429674, partial [Macaca mulatta]	XP_002806084	8.86865E-4	55	48.521	97	54	
a32451	retrotransposable element tf2 155 kda protein type 1-like	312	gi|327268874|ref|XP_003219220.1|PREDICTED: retrotransposable element Tf2 155 kDa protein type 1-like [Anolis carolinensis]	XP_003219220	5.3733E-29	75	127.102	102	77	
a32452	potassium voltage-gated channel subfamily s member 2	793	gi|327269579|ref|XP_003219571.1|PREDICTED: potassium voltage-gated channel subfamily S member 2-like [Anolis carolinensis]	XP_003219571	2.42182E-73	100	276.559	127	127	
a32455	6-pyruvoyl tetrahydrobiopterin synthase	1684	gi|118102045|ref|XP_417928.2|PREDICTED: 6-pyruvoyl tetrahydrobiopterin synthase [Gallus gallus]	XP_417928	1.36127E-47	82	192.586	138	114	
a32458	glutathione peroxidase 4 precursor	920	gi|169646767|ref|NP_001025241.2|glutathione peroxidase 4b [Danio rerio]	NP_001025241	1.10016E-78	83	294.664	190	158	
a324629	secretory carrier-associated membrane protein 1-like	313	gi|345320907|ref|XP_001517721.2|PREDICTED: secretory carrier-associated membrane protein 1-like, partial [Ornithorhynchus anatinus]	XP_001517721	3.8152E-59	97	227.254	103	100	
a324675	alanyl-trna cytoplasmic	351	gi|113195586|ref|NP_001037775.1|alanyl-tRNA synthetase, cytoplasmic isoform 1 [Danio rerio]	NP_001037775	1.42958E-13	59	75.8702	115	68	
a32469	low quality protein: nephronectin	1993	gi|363729350|ref|XP_003640634.1|PREDICTED: uncharacterized protein LOC100857505 [Gallus gallus]	XP_003640634	2.21239E-15	67	85.8853	92	62	
a32487	myosin-11 isoform 2	1065	gi|297283564|ref|XP_001109463.2|PREDICTED: myosin-11-like isoform 6 [Macaca mulatta]	XP_001109463	4.19668E-11	88	70.4774	42	37	
a32503	retrotransposable element tf2 155 kda protein type 1-like	744	gi|326676554|ref|XP_003200607.1|PREDICTED: retrotransposable element Tf2 155 kDa protein type 1-like [Danio rerio]	XP_003200607	9.62581E-5	50	48.521	99	50	
a32571	ankyrin repeat and fibronectin type-iii domain-containing protein 1-like	430	gi|363739765|ref|XP_415046.3|PREDICTED: ankyrin repeat and fibronectin type-III domain-containing protein 1-like [Gallus gallus]	XP_415046	2.28762E-27	93	121.709	66	62	
a32579	dc-stamp domain-containing protein 1	2048	gi|344286455|ref|XP_003414973.1|PREDICTED: DC-STAMP domain-containing protein 1 [Loxodonta africana]	XP_003414973	5.63143E-6	72	54.6842	37	27	
a326035	pyruvate kinase isozymes m1 m2 isoform 9	483	gi|149612407|ref|XP_001507421.1|PREDICTED: pyruvate kinase isozymes M1/M2-like [Ornithorhynchus anatinus]	XP_001507421	1.45336E-14	54	79.7221	152	83	
a326076	mothers against decapentaplegic homolog 1	459	gi|326918382|ref|XP_003205468.1|PREDICTED: mothers against decapentaplegic homolog 1-like [Meleagris gallopavo]	XP_003205468	1.30635E-43	88	176.022	102	90	
a326182	probable trna threonylcarbamoyladenosine biosynthesis protein osgepl1	377	gi|327265348|ref|XP_003217470.1|PREDICTED: probable O-sialoglycoprotein endopeptidase 2-like [Anolis carolinensis]	XP_003217470	1.21476E-41	92	169.088	91	84	
a32632	upf0723 protein c11orf83 homolog	1077	gi|348539214|ref|XP_003457084.1|PREDICTED: UPF0723 protein C11orf83 homolog [Oreochromis niloticus]	XP_003457084	7.53667E-8	69	59.6918	56	39	
a32636	PREDICTED: hypothetical protein LOC100485130 [Xenopus (Silurana) tropicalis]	399	gi|301622748|ref|XP_002940691.1|PREDICTED: hypothetical protein LOC100485130 [Xenopus (Silurana) tropicalis]	XP_002940691	3.63359E-9	48	61.2326	103	50	
a32668	u5 small nuclear ribonucleoprotein 200 kda helicase-like	386	gi|297266538|ref|XP_001098299.2|PREDICTED: u5 small nuclear ribonucleoprotein 200 kDa helicase isoform 2 [Macaca mulatta]	XP_001098299	7.56154E-47	100	186.422	94	94	
a326723	cathepsin d-like	320	gi|327281091|ref|XP_003225283.1|PREDICTED: cathepsin D-like [Anolis carolinensis]	XP_003225283	4.99502E-27	92	120.553	64	59	
a32676	low quality protein: titin-like	993	gi|293357883|ref|XP_575155.3|PREDICTED: titin [Rattus norvegicus]	XP_575155	8.13296E-22	87	105.916	64	56	
a326864	78 kda glucose-regulated protein precursor	429	gi|348515387|ref|XP_003445221.1|PREDICTED: 78 kDa glucose-regulated protein-like [Oreochromis niloticus]	XP_003445221	2.20548E-38	67	158.303	170	114	
a32729	sarcoplasmic endoplasmic reticulum calcium atpase 3	831	gi|326931210|ref|XP_003211726.1|PREDICTED: sarcoplasmic/endoplasmic reticulum calcium ATPase 3 [Meleagris gallopavo]	XP_003211726	6.14944E-6	65	52.7582	63	41	
a32730	small conductance calcium-activated potassium channel protein 2-like	378	gi|118404916|ref|NP_001072484.1|potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1 [Xenopus (Silurana) tropicalis]	NP_001072484	8.78672E-8	83	56.6102	49	41	
a327310	zinc finger fyve domain-containing protein 19	474	gi|327280194|ref|XP_003224838.1|PREDICTED: zinc finger FYVE domain-containing protein 19-like [Anolis carolinensis]	XP_003224838	1.05823E-46	100	186.422	85	85	
a32745	membrane-associated transporter protein	1279	gi|224090292|ref|XP_002194019.1|PREDICTED: solute carrier family 45, member 2 [Taeniopygia guttata]	XP_002194019	7.34515E-24	91	113.235	60	55	
a32762	coiled-coil and c2 domain-containing protein 2a	1890	gi|363733812|ref|XP_420777.3|PREDICTED: coiled-coil and C2 domain-containing protein 2A [Gallus gallus]	XP_420777	0.0	80	705.286	589	476	
a327683	zinc finger protein basonuclin-2	1889	gi|363744425|ref|XP_003643044.1|PREDICTED: zinc finger protein basonuclin-2 [Gallus gallus]	XP_003643044	0.0	93	895.575	571	535	
a327698	atp synthase subunit mitochondrial precursor	1138	gi|27807237|ref|NP_777109.1|ATP synthase subunit alpha, mitochondrial precursor [Bos taurus]	NP_777109	1.65899E-101	71	370.933	378	269	
a327701	adenylosuccinate synthetase isozyme 2	1700	gi|260836345|ref|XP_002613166.1|hypothetical protein BRAFLDRAFT_210543, partial [Branchiostoma floridae]	XP_002613166	1.85242E-68	58	261.922	423	248	
a327713	serine threonine-protein kinase ulk2	349	gi|217330557|ref|NP_055498.3|serine/threonine-protein kinase ULK2 [Homo sapiens]	NP_055498	2.97398E-27	67	121.324	88	59	
a3278	PREDICTED: hypothetical protein LOC100489098 [Xenopus (Silurana) tropicalis]	942	gi|301632921|ref|XP_002945528.1|PREDICTED: hypothetical protein LOC100489098 [Xenopus (Silurana) tropicalis]	XP_002945528	1.86171E-4	44	48.1358	179	80	
a328065	cytosolic phospholipase a2 epsilon-like	389	gi|326920491|ref|XP_003206505.1|PREDICTED: cytosolic phospholipase A2 epsilon-like [Meleagris gallopavo]	XP_003206505	6.60837E-43	81	173.326	130	106	
a32823	probable histidyl-trna mitochondrial-like	868	gi|126290824|ref|XP_001377080.1|PREDICTED: probable histidyl-tRNA synthetase, mitochondrial-like [Monodelphis domestica]	XP_001377080	5.42003E-8	41	59.6918	289	121	
a32829	e3 ubiquitin-protein ligase bre1b	932	gi|327286050|ref|XP_003227744.1|PREDICTED: e3 ubiquitin-protein ligase BRE1B-like [Anolis carolinensis]	XP_003227744	6.26897E-21	80	102.834	71	57	
a32856	forkhead box protein k2-like	1282	gi|327264796|ref|XP_003217197.1|PREDICTED: forkhead box protein K2-like [Anolis carolinensis]	XP_003217197	6.23877E-23	96	110.153	55	53	
a328655	PREDICTED: hypothetical protein LOC100710874 [Oreochromis niloticus]	378	gi|348533007|ref|XP_003453997.1|PREDICTED: hypothetical protein LOC100710874 [Oreochromis niloticus]	XP_003453997	7.69754E-4	60	43.5134	50	30	
a3287	zinc finger protein 420-like	1767	gi|348533007|ref|XP_003453997.1|PREDICTED: hypothetical protein LOC100710874 [Oreochromis niloticus]	XP_003453997	6.34605E-19	60	97.4413	112	68	
a32891	aldose 1-epimerase-like	3561	gi|327262675|ref|XP_003216149.1|PREDICTED: aldose 1-epimerase-like [Anolis carolinensis]	XP_003216149	0.0	99	707.212	341	340	
a328992	cell death activator cide-a-like	425	gi|149606492|ref|XP_001507954.1|PREDICTED: cell death activator CIDE-A-like, partial [Ornithorhynchus anatinus]	XP_001507954	1.94588E-18	84	92.0485	59	50	
a329029	protein fam53a-like	522	gi|54020695|ref|NP_989719.2|protein FAM53A [Gallus gallus]	NP_989719	1.0694E-6	82	53.9138	35	29	
a329179	histone-lysine n-methyltransferase mll3	405	gi|327274410|ref|XP_003221970.1|PREDICTED: LOW QUALITY PROTEIN: histone-lysine N-methyltransferase MLL3-like [Anolis carolinensis]	XP_003221970	8.52726E-43	100	172.94	85	85	
a329219	hypothetical protein BRAFLDRAFT_285351 [Branchiostoma floridae]	568	gi|260794729|ref|XP_002592360.1|hypothetical protein BRAFLDRAFT_285351 [Branchiostoma floridae]	XP_002592360	2.47187E-29	58	129.413	180	105	
a32925	reproductive homeobox on x chromosome 2	556	gi|208022681|ref|NP_001020917.3|reproductive homeobox on X chromosome 2 [Rattus norvegicus]	NP_001020917	2.35274E-5	38	49.6766	127	49	
a32929	hypothetical protein BRAFLDRAFT_81981 [Branchiostoma floridae]	517	gi|260789714|ref|XP_002589890.1|hypothetical protein BRAFLDRAFT_81981 [Branchiostoma floridae]	XP_002589890	3.55087E-7	63	55.4546	55	35	
a32935	heat shock cognate 71 kda	489	gi|326933304|ref|XP_003212746.1|PREDICTED: heat shock cognate 71 kDa protein-like [Meleagris gallopavo]	XP_003212746	8.73991E-71	99	266.544	163	162	
a3297	medium-chain specific acyl- mitochondrial-like	2895	gi|224058541|ref|XP_002189528.1|PREDICTED: similar to acyl-coenzyme A dehydrogenase, C-4 to C-12 straight chain [Taeniopygia guttata]	XP_002189528	0.0	93	740.725	422	396	
a32979	60s ribosomal protein l7a	446	gi|52138653|ref|NP_001004379.1|60S ribosomal protein L7a [Gallus gallus]	NP_001004379	6.9274E-36	91	150.214	85	78	
a33003	uhrf1-binding protein 1-like	361	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	1.28693E-6	57	52.7582	76	44	
a33004	syntaxin-1A [Bos taurus]	868	gi|139947868|ref|NP_001077267.1|syntaxin-1A [Bos taurus]	NP_001077267	1.92773E-5	67	51.2174	49	33	
a330194	zinc finger protein rfp-like	505	gi|327266584|ref|XP_003218084.1|PREDICTED: tripartite motif-containing protein 10-like [Anolis carolinensis]	XP_003218084	4.21688E-42	73	171.4	140	103	
a330199	4-hydroxyphenylpyruvate dioxygenase-like	337	gi|348554401|ref|XP_003463014.1|PREDICTED: 4-hydroxyphenylpyruvate dioxygenase-like [Cavia porcellus]	XP_003463014	3.81476E-6	58	51.2174	56	33	
a330259	hexosaminidase d	496	gi|126309474|ref|XP_001374401.1|PREDICTED: hexosaminidase D-like [Monodelphis domestica]	XP_001374401	3.02823E-66	82	251.521	164	136	
a3303	nicotinamide riboside kinase 2-like	648	gi|224087923|ref|XP_002198794.1|PREDICTED: similar to Mibp protein [Taeniopygia guttata]	XP_002198794	3.49098E-23	87	109.383	63	55	
a33068	PREDICTED: hypothetical protein LOC100485130 [Xenopus (Silurana) tropicalis]	317	gi|301622748|ref|XP_002940691.1|PREDICTED: hypothetical protein LOC100485130 [Xenopus (Silurana) tropicalis]	XP_002940691	1.41744E-5	44	49.2914	97	43	
a33087	nuclear receptor subfamily 5 group a member 2-like	866	gi|327281562|ref|XP_003225516.1|PREDICTED: hypothetical protein LOC100561123 [Anolis carolinensis]	XP_003225516	8.0804E-12	70	72.4034	62	44	
a330896	low quality protein: dynein heavy chain axonemal-like	434	gi|327274861|ref|XP_003222194.1|PREDICTED: dynein heavy chain 11, axonemal-like [Anolis carolinensis]	XP_003222194	1.2948E-12	97	72.7886	36	35	
a330970	probable carboxypeptidase pm20d1-like	561	gi|194210233|ref|XP_001490842.2|PREDICTED: probable carboxypeptidase PM20D1-like [Equus caballus]	XP_001490842	3.03421E-32	84	139.043	84	71	
a3310	phosphatidylinositol 3-kinase regulatory subunit beta-like	499	gi|326934543|ref|XP_003213348.1|PREDICTED: phosphatidylinositol 3-kinase regulatory subunit beta-like [Meleagris gallopavo]	XP_003213348	7.23462E-7	77	54.299	40	31	
a33101	PREDICTED: uncharacterized protein LOC539073 isoform 1 [Bos taurus]	1835	gi|194672809|ref|XP_584630.4|PREDICTED: uncharacterized protein LOC539073 isoform 1 [Bos taurus]	XP_584630	2.89029E-6	39	55.4546	356	140	
a33110	lon protease homolog peroxisomal	953	gi|56693217|ref|NP_001008573.1|lon protease homolog 2, peroxisomal [Danio rerio]	NP_001008573	3.51052E-75	63	283.108	343	218	
a331446	dna-directed rna polymerase ii subunit rpb2	1562	gi|224967092|ref|NP_033112.2|DNA-directed RNA polymerase I subunit RPA2 [Mus musculus]	NP_033112	1.52832E-21	42	105.916	282	121	
a33146	translationally-controlled tumor	626	gi|6678437|ref|NP_033455.1|translationally-controlled tumor protein [Mus musculus]	NP_033455	5.90089E-73	100	274.633	135	135	
a33152	uhrf1-binding protein 1-like	731	gi|327271319|ref|XP_003220435.1|PREDICTED: UHRF1-binding protein 1-like [Anolis carolinensis]	XP_003220435	8.70772E-11	58	68.5514	75	44	
a33188	gliomedin	415	gi|31077108|ref|NP_852047.1|gliomedin [Rattus norvegicus]	NP_852047	7.23296E-10	76	63.5438	52	40	
a3320	histone-lysine n-methyltransferase setd3	2545	gi|363734802|ref|XP_003641459.1|PREDICTED: histone-lysine N-methyltransferase setd3-like [Gallus gallus]	XP_003641459	0.0	95	981.86	571	546	
a33217	PREDICTED: hypothetical protein LOC100428624 [Macaca mulatta]	1280	gi|297267430|ref|XP_002799532.1|PREDICTED: hypothetical protein LOC100428624 [Macaca mulatta]	XP_002799532	4.49179E-5	70	50.8322	44	31	
